NV_Warning: Counter 'warp_execution_efficiency' is not compatible with other selected counters and it cannot be profiled in this run.
NV_Warning: Counter 'l1_cache_global_hit_rate' is not compatible with other selected counters and it cannot be profiled in this run.
NV_Warning: Counter 'l1_cache_local_hit_rate' is not compatible with other selected counters and it cannot be profiled in this run.
NV_Warning: Counter 'ipc' is not compatible with other selected counters and it cannot be profiled in this run.
# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_DEVICE 0 Tesla X2070
# CUDA_CONTEXT 1
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR 146f48bf200dd6a9
gpustarttimestamp,method,gputime,cputime,gridsizeX,gridsizeY,occupancy,streamid
148a02143ab83400,_Z23cudakernel_MemsetDoublePddd,7257.344,8.750,42,1,1.000,12
148a02143b374400,_Z46cudakernel_Initialize_F_boundary_fi_horizontalPd19ProcComputingCoordsddddi,3.072,11.667,10,1,0.667,12
148a02143b376c00,_Z46cudakernel_Initialize_F_boundary_fi_horizontalPd19ProcComputingCoordsddddi,2.560,3.811,10,1,0.667,16
148a02143b377f00,_Z46cudakernel_Initialize_F_boundary_fi_horizontalPd19ProcComputingCoordsddddi,2.560,2.953,10,1,0.667,13
148a02143b379600,_Z46cudakernel_Initialize_F_boundary_fi_horizontalPd19ProcComputingCoordsddddi,2.304,3.070,10,1,0.667,17
148a02143b37b100,_Z44cudakernel_Initialize_F_boundary_fi_verticalPd19ProcComputingCoordsddddi,16.128,4.596,10,1,0.667,14
148a02143b37c400,_Z44cudakernel_Initialize_F_boundary_fi_verticalPd19ProcComputingCoordsddddi,22.272,3.061,10,1,0.667,18
148a02143b37d700,_Z44cudakernel_Initialize_F_boundary_fi_verticalPd19ProcComputingCoordsddddi,26.368,2.863,10,1,0.667,15
148a02143b37ef00,_Z44cudakernel_Initialize_F_boundary_fi_verticalPd19ProcComputingCoordsddddi,24.832,2.918,10,1,0.667,19
148a02143b3cd400,_Z23cudakernel_MemsetDoublePddd,2.816,7.122,10,1,1.000,12
148a02143b3ce900,_Z23cudakernel_MemsetDoublePddd,1.792,3.333,10,1,1.000,13
148a02143b3d0100,_Z42cudakernel_Initialize_F_with_zero_verticalPdii,16.384,3.262,10,1,1.000,14
148a02143b3d1200,_Z42cudakernel_Initialize_F_with_zero_verticalPdii,12.032,2.774,10,1,1.000,15
148a02143b414300,_Z23cudakernel_MemsetDoublePddd,1.792,6.906,10,1,1.000,12
148a02143b415600,_Z23cudakernel_MemsetDoublePddd,1.280,3.225,10,1,1.000,13
148a02143b416c00,_Z42cudakernel_Initialize_F_with_zero_verticalPdii,15.872,3.071,10,1,1.000,14
148a02143b417e00,_Z42cudakernel_Initialize_F_with_zero_verticalPdii,11.264,2.880,10,1,1.000,15
148a02143b457600,_Z23cudakernel_MemsetDoublePddd,1.792,6.481,10,1,1.000,12
148a02143b458800,_Z23cudakernel_MemsetDoublePddd,1.792,3.139,10,1,1.000,13
148a02143b459d00,_Z42cudakernel_Initialize_F_with_zero_verticalPdii,16.384,2.966,10,1,1.000,14
148a02143b45b000,_Z42cudakernel_Initialize_F_with_zero_verticalPdii,11.520,3.228,10,1,1.000,15
148a02143b49a000,_Z23cudakernel_MemsetDoublePddd,1.536,6.357,10,1,1.000,12
148a02143b49b100,_Z23cudakernel_MemsetDoublePddd,2.304,3.074,10,1,1.000,13
148a02143b49c800,_Z42cudakernel_Initialize_F_with_zero_verticalPdii,15.872,3.239,10,1,1.000,14
148a02143b49d900,_Z42cudakernel_Initialize_F_with_zero_verticalPdii,12.544,2.905,10,1,1.000,15
148a02143b4dbe00,_Z23cudakernel_MemsetDoublePddd,1.792,6.325,10,1,1.000,12
148a02143b4dd100,_Z23cudakernel_MemsetDoublePddd,1.792,3.401,10,1,1.000,13
148a02143b4de600,_Z42cudakernel_Initialize_F_with_zero_verticalPdii,16.384,2.966,10,1,1.000,14
148a02143b4df800,_Z42cudakernel_Initialize_F_with_zero_verticalPdii,12.032,2.906,10,1,1.000,15
148a02143b5ca500,_Z50cudakernel_Counting_5_star_Memcpy_vertical_messagePdPKdii,19.456,8.477,10,1,1.000,13
148a02143b5cc500,_Z50cudakernel_Counting_5_star_Memcpy_vertical_messagePdPKdii,12.544,3.527,10,1,1.000,14
148a02143b5d6c40,memcpyDtoHasync,9.984,6.826,,,,15
148a02143b5da020,memcpyDtoHasync,10.336,3.483,,,,16
148a02143b5dfa00,_Z34cudakernel_Counting_5_star_insidesPdPKd19ProcComputingCoordsdd,17224.447,6.191,42,1,0.333,12
148a02143c0cde00,_Z38cudakernel_Counting_5_star_nxm_cornersPdPKdS1_S1_S1_S1_19ProcComputingCoordsdd,4.608,8.104,1,1,0.167,21
148a02143c696b00,_Z20cudakernel_Compute_rPdPKdi19ProcComputingCoordsdddd,6949.888,7.952,42,1,0.333,12
148a02143cd73d00,_Z50cudakernel_Counting_5_star_Memcpy_vertical_messagePdPKdii,14.592,7.205,10,1,1.000,13
148a02143cd75600,_Z50cudakernel_Counting_5_star_Memcpy_vertical_messagePdPKdii,10.752,3.605,10,1,1.000,14
148a02143cd77de0,memcpyDtoHasync,14.816,4.977,,,,15
148a02143cd7c4c0,memcpyDtoHasync,10.944,3.143,,,,16
148a02143cd7b100,_Z34cudakernel_Counting_5_star_insidesPdPKd19ProcComputingCoordsdd,14013.184,3.605,42,1,0.333,12
148a02143d664f00,_Z38cudakernel_Counting_5_star_nxm_cornersPdPKdS1_S1_S1_S1_19ProcComputingCoordsdd,6.400,3.182,1,1,0.167,21
148a02143dbaa900,_Z31cudakernel_PrepareScalarProductPdPKdS1_id19ProcComputingCoords,5661.440,7.681,42,1,0.667,1
148a02143e111300,_Z21cudakernel_ComputeSumPdPKdii,2305.536,3.517,42,1,1.000,1
148a02143e344700,_Z21cudakernel_ComputeSumPdPKdii,4.608,2.685,1,1,0.333,1
148a02143e3465c0,memcpyDtoH,2.432,7940.299,,,,1
148a02143e3ffb00,_Z31cudakernel_PrepareScalarProductPdPKdS1_id19ProcComputingCoords,8505.344,7.424,42,1,0.667,1
148a02143ec1ca00,_Z21cudakernel_ComputeSumPdPKdii,2315.008,3.192,42,1,1.000,1
148a02143ee52300,_Z21cudakernel_ComputeSumPdPKdii,4.608,2.705,1,1,0.333,1
148a02143ee541a0,memcpyDtoH,2.016,10826.104,,,,1
148a02143ee90600,_Z20cudakernel_Compute_pPdPKdS1_id19ProcComputingCoords,10724.864,7.432,42,1,0.667,12
